夏,0.06555,-0.01789,-0.14661,0.09338,-0.01095,-0.04965,-0.02473,-0.01349,-0.01368,-0.07317,-0.00973,-0.00141,0.00667,-0.00453,-0.17246,-0.04039,0.04757,0.07384,0.16727,-0.05269,0.14989,0.03306,-0.02982,0.04483,-0.05017,-0.05092,-0.08368,0.03497,0.10827,0.04269,-0.02926,-0.09373,-0.00258,-0.05239,0.06978,-0.02952,0.09238,0.06803,0.09652,-0.01898,-0.08766,0.02516,0.01385,-0.06919,0.01213,0.04634,-0.00475,-0.01414,0.05264,0.00370,0.00235,-0.03906,0.03274,-0.01470,-0.00761,0.02854,0.07450,0.03756,0.03964,0.10319,0.00697,-0.04383,-0.00517,0.03025,-0.04638,0.04359,0.01471,0.14537,0.05577,0.02058,0.01465,0.02117,-0.07102,-0.07436,-0.00512,-0.00921,0.12324,-0.02467,-0.08166,-0.07997,0.08384,-0.03830,-0.06341,-0.09422,0.15886,-0.08592,0.00837,0.01023,0.01750,-0.11240,0.17323,-0.04257,-0.05275,0.09175,0.06419,0.05162,0.02427,-0.05648,-0.08741,0.03078,-0.15537,-0.01387,-0.10783,-0.10396,-0.00221,0.08706,0.06897,-0.06402,-0.07089,-0.12840,-0.01729,0.10859,0.09765,0.14081,-0.00249,-0.04634,0.08062,0.10230,0.08228,0.05832,-0.09849,0.02862,0.00635,0.02552,-0.02990,0.07480,-0.01256,-0.04960,0.06965,0.02088,0.11731,-0.00982,0.04297,-0.01388,0.00137,-0.01919,-0.03878,-0.06407,0.04517,0.02935,-0.05611,0.06212,0.17817,-0.07259,-0.00562,-0.10929,-0.07789,-0.10090,-0.03516,0.01493,-0.01776,-0.01249,0.09303,-0.20218,0.07069,-0.00602,-0.00615,0.05384,-0.13260,-0.03316,-0.01178,-0.00850,0.00369,0.05516,0.01822,0.07727,-0.02874,-0.04776,0.13339,-0.08540,-0.04085,0.10385,-0.00082,0.00392,-0.15518,-0.06035,0.04138,0.09792,0.09833,-0.01938,-0.06992,0.07614,0.04395,-0.06122,0.06775,-0.02237,-0.04916,-0.08713,-0.07471,0.04635,0.00844,-0.01768,0.04432,-0.00118,-0.13751,-0.14500,-0.06360,-0.02404,0.07583,0.04185,
休む,0.07196,0.01869,-0.03535,0.02512,0.12207,0.07669,-0.04764,-0.01576,-0.06507,0.09373,-0.01486,-0.02821,0.01280,-0.01848,-0.02551,-0.04272,0.14626,-0.00412,0.02791,-0.02605,-0.06751,-0.00596,-0.00060,-0.02664,-0.06160,-0.18603,0.01528,0.03528,-0.01056,-0.16006,-0.02122,-0.10288,-0.03450,-0.04115,-0.14617,0.06540,-0.02407,-0.05637,0.12884,-0.14405,0.01875,0.07405,-0.00936,0.05482,0.01066,-0.04008,0.04163,-0.01310,0.06682,0.18629,-0.09180,0.12448,0.08897,0.07299,0.07912,-0.01947,-0.01733,-0.03809,0.00007,0.10518,0.03219,-0.05617,-0.07798,0.00120,0.04875,0.04550,-0.00439,0.03992,-0.08903,0.09566,-0.03591,-0.05313,-0.12629,0.10356,-0.00874,-0.02284,0.09359,0.06572,-0.03107,-0.03566,0.07687,-0.04137,-0.04827,0.02909,-0.00795,-0.10960,0.11831,-0.01962,-0.10191,0.05957,0.17604,0.06239,0.02318,-0.02739,-0.00740,0.03830,0.07403,-0.00032,0.08379,0.00998,-0.05604,0.08279,-0.00501,0.05725,-0.02901,0.09076,0.00879,0.07390,-0.05378,-0.17215,0.03144,-0.03704,0.07112,-0.14075,0.01614,-0.13048,-0.11546,-0.08010,-0.06571,-0.00628,-0.12009,-0.04559,-0.00242,-0.03486,0.09946,0.12270,-0.00743,-0.06634,0.04286,0.01905,0.09167,0.02753,-0.04397,0.02727,-0.13143,0.05028,-0.02720,0.00837,0.00649,-0.02697,-0.03835,0.05093,0.16996,0.01995,0.10263,0.00764,-0.01659,0.04348,-0.10871,-0.04194,0.05652,0.09874,-0.01363,-0.13610,0.09962,0.00131,0.03341,-0.00316,-0.03262,0.11885,0.00971,0.05781,0.01206,-0.02703,0.04632,-0.02101,-0.05319,0.05622,-0.05026,-0.05934,0.00172,-0.09386,-0.01752,0.11617,0.04514,0.09232,-0.04306,-0.04667,0.03032,0.00160,-0.11129,0.09897,-0.07551,-0.16151,-0.00132,0.08510,-0.07240,-0.00762,-0.05138,0.04472,0.07810,0.06435,0.09985,0.01415,-0.00539,0.00164,-0.07106,-0.06495,0.00166,0.02803,
に,-0.09188,-0.08843,0.04859,0.02185,-0.05256,0.03658,0.04378,-0.01618,0.00471,0.05658,-0.02597,0.08335,-0.02838,-0.14305,0.00529,-0.00741,-0.07441,-0.01648,-0.13302,-0.10790,-0.00348,0.04482,0.03750,-0.11564,-0.03348,-0.03756,0.00162,-0.09468,-0.04501,0.02513,0.00702,-0.01820,-0.10188,0.06861,0.11939,-0.05290,0.10550,-0.13931,-0.01090,0.00423,0.13790,-0.06725,-0.01497,-0.07427,-0.03237,-0.01552,-0.05794,0.05755,-0.06372,0.02731,0.03052,-0.01522,-0.08863,0.01949,0.07423,-0.06829,0.12273,0.10540,-0.12140,-0.01117,-0.04449,0.02197,0.02186,-0.01480,-0.04291,-0.10084,0.04510,-0.00108,-0.02889,-0.01984,-0.01808,-0.05207,0.17010,0.05334,0.08476,-0.11663,0.11618,0.05949,-0.00215,-0.01519,0.00176,0.05223,-0.08047,-0.04127,-0.16227,0.14049,-0.08760,0.07213,0.07440,0.12803,-0.13695,-0.03671,0.03624,-0.19650,-0.03114,0.03451,0.00770,-0.04729,-0.04027,-0.03778,-0.01053,-0.04389,-0.01380,0.09653,0.00479,0.10018,-0.14139,0.03230,0.08913,-0.00644,-0.03114,-0.07687,-0.05243,-0.02023,-0.02759,0.03047,0.00349,-0.05652,-0.01090,-0.04805,-0.01717,-0.10359,-0.02766,-0.07046,0.03383,-0.04149,0.10271,-0.04411,0.01622,0.09049,-0.10816,-0.05628,-0.04472,0.09350,0.12959,0.09813,-0.04148,0.08126,0.11729,-0.02734,0.05465,-0.02362,0.08820,-0.04061,0.04241,-0.00825,0.05291,0.09394,-0.03653,0.02109,-0.03717,-0.04319,0.01727,0.06688,-0.03395,0.09735,0.11742,-0.09310,0.12880,-0.13775,0.07807,0.09641,-0.00087,-0.02977,0.05959,-0.13395,-0.08144,0.09178,-0.03495,0.08945,0.06813,0.07724,-0.05093,0.02728,-0.05903,0.01193,-0.08469,-0.06726,-0.06476,0.07031,0.04645,-0.09938,0.02009,0.08663,-0.00576,0.00501,-0.03527,0.04963,0.06848,0.03274,-0.11263,-0.01743,-0.04493,-0.04873,0.03426,-0.08827,-0.08399,-0.05247,0.06704,0.03101,
なる,0.12024,0.07599,-0.05106,-0.06642,0.04913,-0.01694,-0.00378,0.03831,-0.04029,0.12043,-0.05353,0.01749,0.01152,0.05445,0.02394,0.03579,0.07058,-0.02099,-0.00306,0.03932,-0.04785,-0.09080,-0.07317,0.07780,0.09307,0.01941,0.09704,0.09253,-0.01842,-0.09739,-0.00028,0.05418,-0.00919,-0.03020,-0.14391,-0.01329,-0.14127,0.04999,0.13060,-0.04922,-0.08606,0.07464,0.03323,0.03987,0.06492,0.08500,0.01301,-0.01857,0.09233,0.04206,-0.10460,0.04327,-0.04730,0.05019,0.05159,0.01031,-0.01265,0.01373,0.06090,-0.03810,0.06950,-0.14953,0.04417,-0.03317,0.04756,0.12421,0.07012,0.05419,0.02203,0.09404,0.00042,-0.07034,0.00977,0.08060,-0.04818,0.09147,-0.08719,-0.00729,-0.13654,-0.08136,0.03581,-0.10833,0.07196,-0.03253,0.02198,-0.04239,0.22165,-0.00637,-0.03230,-0.15379,0.12569,0.03630,0.13958,-0.00865,0.06000,-0.02261,0.05823,-0.07510,0.09235,0.03348,0.14499,0.02414,0.04425,0.05950,-0.07202,-0.01314,0.06336,0.08758,-0.01641,-0.01920,-0.06858,-0.06923,0.03522,-0.08920,0.03064,-0.09076,-0.01556,0.00391,-0.02184,-0.06003,-0.02052,0.12477,0.05297,-0.02956,0.03052,0.11703,-0.11292,-0.06534,-0.11404,-0.01012,0.02459,0.06427,-0.07700,-0.11082,-0.13354,0.08900,-0.02438,-0.01662,0.01167,0.03367,0.00583,0.02436,0.04972,0.05944,0.08880,0.02282,-0.06235,0.03686,0.04865,0.01732,-0.08933,0.10491,-0.01069,-0.05025,0.11767,-0.08696,-0.01429,0.03063,-0.03005,0.12998,0.02814,-0.11007,-0.01163,-0.02261,0.02117,0.02732,-0.10167,-0.01979,-0.05409,-0.02972,-0.06888,-0.02323,-0.06699,0.02207,0.05062,0.03174,0.05119,0.00736,0.15789,-0.12825,-0.12495,0.17657,-0.03139,-0.05083,-0.12240,-0.05782,0.07266,-0.10453,0.04158,0.00999,0.06237,0.08045,0.01807,0.04020,0.00034,-0.04390,-0.03651,-0.00689,-0.04419,-0.06547,
いる,0.06732,0.04156,0.10662,-0.07851,-0.01459,-0.01719,-0.02878,-0.08272,-0.05594,0.07921,0.00696,0.05260,-0.10945,-0.01861,0.04038,-0.01309,0.01938,-0.02701,-0.03708,-0.00747,-0.09474,-0.15255,-0.06586,-0.01986,0.06236,0.10421,0.11259,-0.04831,-0.11011,-0.10167,-0.02727,-0.01506,-0.01643,-0.05580,-0.11400,0.01371,-0.02160,-0.08448,0.11474,-0.01419,-0.02357,0.09393,0.04477,0.07629,-0.00202,0.07252,0.06598,0.02060,0.00272,0.10116,-0.14710,-0.02927,-0.03865,0.05255,0.07783,-0.00777,-0.06164,0.06220,-0.02610,-0.00646,0.03608,-0.10327,-0.01293,0.02374,0.08807,0.07660,0.02796,0.03193,-0.05544,-0.00729,0.06945,-0.05139,0.01889,0.06727,0.04947,0.07417,0.02341,0.04003,-0.08857,-0.13423,0.08008,-0.15736,0.11581,-0.02177,-0.09180,0.01241,0.10794,-0.06652,-0.02576,0.02347,0.10523,0.09896,0.12244,-0.03364,-0.08499,0.04348,0.06262,-0.09984,0.03932,0.04379,0.14725,0.08135,0.04099,0.15307,-0.04659,0.03966,-0.10717,0.02884,-0.04532,0.09856,-0.02904,-0.05089,-0.00073,-0.12436,0.03090,0.03729,-0.05049,-0.09416,-0.11474,-0.09361,-0.09540,0.01744,0.04941,-0.09510,-0.02206,0.05221,0.01821,-0.12038,-0.18928,0.04202,-0.03574,0.00300,-0.12882,-0.15331,0.07022,0.08115,-0.05840,0.08266,-0.03886,-0.03452,-0.11249,0.05667,-0.01527,0.00296,0.07631,0.02484,0.00848,0.10420,0.09592,-0.01877,-0.12229,0.06636,0.04319,-0.03018,0.06417,-0.00214,-0.00552,-0.02999,0.02910,-0.08229,0.03193,-0.04133,-0.08330,-0.01074,0.03593,0.00354,-0.13335,0.04964,-0.02430,-0.00017,-0.04805,-0.08196,-0.00141,-0.06327,0.13808,-0.06228,-0.01656,0.05467,0.06047,-0.15844,-0.02371,-0.05138,0.04723,-0.07623,-0.02212,-0.00196,0.05861,-0.00167,-0.01759,-0.05417,-0.01151,0.15070,0.06703,-0.03324,-0.03313,0.00936,0.09425,-0.02601,0.07035,0.01565,
に,-0.09188,-0.08843,0.04859,0.02185,-0.05256,0.03658,0.04378,-0.01618,0.00471,0.05658,-0.02597,0.08335,-0.02838,-0.14305,0.00529,-0.00741,-0.07441,-0.01648,-0.13302,-0.10790,-0.00348,0.04482,0.03750,-0.11564,-0.03348,-0.03756,0.00162,-0.09468,-0.04501,0.02513,0.00702,-0.01820,-0.10188,0.06861,0.11939,-0.05290,0.10550,-0.13931,-0.01090,0.00423,0.13790,-0.06725,-0.01497,-0.07427,-0.03237,-0.01552,-0.05794,0.05755,-0.06372,0.02731,0.03052,-0.01522,-0.08863,0.01949,0.07423,-0.06829,0.12273,0.10540,-0.12140,-0.01117,-0.04449,0.02197,0.02186,-0.01480,-0.04291,-0.10084,0.04510,-0.00108,-0.02889,-0.01984,-0.01808,-0.05207,0.17010,0.05334,0.08476,-0.11663,0.11618,0.05949,-0.00215,-0.01519,0.00176,0.05223,-0.08047,-0.04127,-0.16227,0.14049,-0.08760,0.07213,0.07440,0.12803,-0.13695,-0.03671,0.03624,-0.19650,-0.03114,0.03451,0.00770,-0.04729,-0.04027,-0.03778,-0.01053,-0.04389,-0.01380,0.09653,0.00479,0.10018,-0.14139,0.03230,0.08913,-0.00644,-0.03114,-0.07687,-0.05243,-0.02023,-0.02759,0.03047,0.00349,-0.05652,-0.01090,-0.04805,-0.01717,-0.10359,-0.02766,-0.07046,0.03383,-0.04149,0.10271,-0.04411,0.01622,0.09049,-0.10816,-0.05628,-0.04472,0.09350,0.12959,0.09813,-0.04148,0.08126,0.11729,-0.02734,0.05465,-0.02362,0.08820,-0.04061,0.04241,-0.00825,0.05291,0.09394,-0.03653,0.02109,-0.03717,-0.04319,0.01727,0.06688,-0.03395,0.09735,0.11742,-0.09310,0.12880,-0.13775,0.07807,0.09641,-0.00087,-0.02977,0.05959,-0.13395,-0.08144,0.09178,-0.03495,0.08945,0.06813,0.07724,-0.05093,0.02728,-0.05903,0.01193,-0.08469,-0.06726,-0.06476,0.07031,0.04645,-0.09938,0.02009,0.08663,-0.00576,0.00501,-0.03527,0.04963,0.06848,0.03274,-0.11263,-0.01743,-0.04493,-0.04873,0.03426,-0.08827,-0.08399,-0.05247,0.06704,0.03101,
休む,0.07196,0.01869,-0.03535,0.02512,0.12207,0.07669,-0.04764,-0.01576,-0.06507,0.09373,-0.01486,-0.02821,0.01280,-0.01848,-0.02551,-0.04272,0.14626,-0.00412,0.02791,-0.02605,-0.06751,-0.00596,-0.00060,-0.02664,-0.06160,-0.18603,0.01528,0.03528,-0.01056,-0.16006,-0.02122,-0.10288,-0.03450,-0.04115,-0.14617,0.06540,-0.02407,-0.05637,0.12884,-0.14405,0.01875,0.07405,-0.00936,0.05482,0.01066,-0.04008,0.04163,-0.01310,0.06682,0.18629,-0.09180,0.12448,0.08897,0.07299,0.07912,-0.01947,-0.01733,-0.03809,0.00007,0.10518,0.03219,-0.05617,-0.07798,0.00120,0.04875,0.04550,-0.00439,0.03992,-0.08903,0.09566,-0.03591,-0.05313,-0.12629,0.10356,-0.00874,-0.02284,0.09359,0.06572,-0.03107,-0.03566,0.07687,-0.04137,-0.04827,0.02909,-0.00795,-0.10960,0.11831,-0.01962,-0.10191,0.05957,0.17604,0.06239,0.02318,-0.02739,-0.00740,0.03830,0.07403,-0.00032,0.08379,0.00998,-0.05604,0.08279,-0.00501,0.05725,-0.02901,0.09076,0.00879,0.07390,-0.05378,-0.17215,0.03144,-0.03704,0.07112,-0.14075,0.01614,-0.13048,-0.11546,-0.08010,-0.06571,-0.00628,-0.12009,-0.04559,-0.00242,-0.03486,0.09946,0.12270,-0.00743,-0.06634,0.04286,0.01905,0.09167,0.02753,-0.04397,0.02727,-0.13143,0.05028,-0.02720,0.00837,0.00649,-0.02697,-0.03835,0.05093,0.16996,0.01995,0.10263,0.00764,-0.01659,0.04348,-0.10871,-0.04194,0.05652,0.09874,-0.01363,-0.13610,0.09962,0.00131,0.03341,-0.00316,-0.03262,0.11885,0.00971,0.05781,0.01206,-0.02703,0.04632,-0.02101,-0.05319,0.05622,-0.05026,-0.05934,0.00172,-0.09386,-0.01752,0.11617,0.04514,0.09232,-0.04306,-0.04667,0.03032,0.00160,-0.11129,0.09897,-0.07551,-0.16151,-0.00132,0.08510,-0.07240,-0.00762,-0.05138,0.04472,0.07810,0.06435,0.09985,0.01415,-0.00539,0.00164,-0.07106,-0.06495,0.00166,0.02803,
いる,0.06732,0.04156,0.10662,-0.07851,-0.01459,-0.01719,-0.02878,-0.08272,-0.05594,0.07921,0.00696,0.05260,-0.10945,-0.01861,0.04038,-0.01309,0.01938,-0.02701,-0.03708,-0.00747,-0.09474,-0.15255,-0.06586,-0.01986,0.06236,0.10421,0.11259,-0.04831,-0.11011,-0.10167,-0.02727,-0.01506,-0.01643,-0.05580,-0.11400,0.01371,-0.02160,-0.08448,0.11474,-0.01419,-0.02357,0.09393,0.04477,0.07629,-0.00202,0.07252,0.06598,0.02060,0.00272,0.10116,-0.14710,-0.02927,-0.03865,0.05255,0.07783,-0.00777,-0.06164,0.06220,-0.02610,-0.00646,0.03608,-0.10327,-0.01293,0.02374,0.08807,0.07660,0.02796,0.03193,-0.05544,-0.00729,0.06945,-0.05139,0.01889,0.06727,0.04947,0.07417,0.02341,0.04003,-0.08857,-0.13423,0.08008,-0.15736,0.11581,-0.02177,-0.09180,0.01241,0.10794,-0.06652,-0.02576,0.02347,0.10523,0.09896,0.12244,-0.03364,-0.08499,0.04348,0.06262,-0.09984,0.03932,0.04379,0.14725,0.08135,0.04099,0.15307,-0.04659,0.03966,-0.10717,0.02884,-0.04532,0.09856,-0.02904,-0.05089,-0.00073,-0.12436,0.03090,0.03729,-0.05049,-0.09416,-0.11474,-0.09361,-0.09540,0.01744,0.04941,-0.09510,-0.02206,0.05221,0.01821,-0.12038,-0.18928,0.04202,-0.03574,0.00300,-0.12882,-0.15331,0.07022,0.08115,-0.05840,0.08266,-0.03886,-0.03452,-0.11249,0.05667,-0.01527,0.00296,0.07631,0.02484,0.00848,0.10420,0.09592,-0.01877,-0.12229,0.06636,0.04319,-0.03018,0.06417,-0.00214,-0.00552,-0.02999,0.02910,-0.08229,0.03193,-0.04133,-0.08330,-0.01074,0.03593,0.00354,-0.13335,0.04964,-0.02430,-0.00017,-0.04805,-0.08196,-0.00141,-0.06327,0.13808,-0.06228,-0.01656,0.05467,0.06047,-0.15844,-0.02371,-0.05138,0.04723,-0.07623,-0.02212,-0.00196,0.05861,-0.00167,-0.01759,-0.05417,-0.01151,0.15070,0.06703,-0.03324,-0.03313,0.00936,0.09425,-0.02601,0.07035,0.01565,
ない,0.03095,-0.15298,0.04012,-0.06634,0.05296,0.01839,0.01535,-0.07787,-0.03204,-0.08506,0.02871,0.07963,-0.00397,-0.02328,0.08557,-0.06688,0.10019,0.04024,0.07176,0.06854,-0.05313,-0.03320,0.07042,0.05903,0.05877,-0.02363,0.00027,0.05251,0.00989,-0.05676,0.10569,-0.07354,-0.04213,-0.00551,-0.15623,0.09486,-0.01271,0.00309,0.03561,-0.11021,-0.01848,0.11335,0.01962,0.11231,-0.07113,-0.01320,-0.09389,-0.06167,0.05142,0.04197,-0.10314,-0.10842,-0.04004,0.00685,0.05221,0.09782,-0.08700,0.02614,-0.12560,0.09038,-0.10628,-0.05814,-0.07334,0.04448,-0.12326,-0.00365,0.02621,0.08843,0.12036,-0.14666,0.04931,-0.08952,0.00204,0.06241,0.06303,0.04483,0.00006,-0.10130,-0.02361,0.00237,0.14953,0.03716,0.01031,0.08286,-0.04739,0.00278,0.02210,-0.00723,0.09321,-0.02309,0.15025,-0.10275,0.13279,-0.01895,-0.14157,-0.02406,0.13020,0.05140,0.13123,0.02107,-0.03093,-0.03265,-0.02039,0.04060,0.05521,-0.01206,0.15823,0.08811,0.13192,0.03705,0.01251,0.11207,0.13813,-0.09515,0.04454,0.03685,0.07561,-0.06870,-0.10000,-0.05115,-0.03970,0.04161,-0.08322,-0.09759,-0.02276,0.03039,0.01008,-0.01350,-0.01784,-0.05810,0.03930,-0.00591,0.05197,-0.03480,0.08249,0.04893,-0.11314,-0.02981,0.02253,-0.05929,0.04265,-0.04440,0.08829,0.01337,0.07577,-0.05241,0.04290,0.07659,0.06830,-0.01346,0.03698,-0.07830,-0.13114,-0.08525,0.00965,0.01535,-0.01687,-0.14476,0.00794,-0.01019,0.06343,0.02534,-0.04198,-0.01304,-0.04616,0.05765,-0.11351,-0.05814,-0.00069,-0.13713,-0.10463,0.07150,-0.06424,-0.07776,-0.13915,0.00349,-0.04328,-0.08904,0.03976,0.04483,-0.04227,-0.09512,0.00127,0.04943,-0.05039,0.00142,-0.12796,0.04457,0.02645,0.00632,-0.07034,-0.10151,0.04554,0.01175,-0.03486,0.04044,-0.02124,-0.09121,-0.02854,0.01859,
。,-0.04859,0.12845,0.02667,0.09500,0.06284,-0.04664,0.01828,0.12589,0.07456,0.00987,0.01830,0.05994,0.00227,-0.03490,0.02256,-0.03476,-0.12474,0.04889,-0.06039,0.01208,-0.03583,0.10710,0.03106,-0.06380,-0.03833,-0.09070,-0.01709,-0.04619,0.07869,0.13653,-0.03415,0.03759,-0.00893,0.07242,0.06406,0.01751,0.03067,-0.04803,-0.09643,0.02909,-0.08070,-0.13174,-0.11889,-0.01106,-0.02400,0.02142,0.06521,0.07865,-0.05354,0.00285,0.08859,0.01960,-0.03780,-0.07049,0.00985,0.00336,0.02806,0.06121,-0.02912,-0.00800,0.03563,0.09112,0.09694,0.01455,-0.15872,-0.15898,0.06506,-0.01750,0.06302,0.02320,-0.10938,0.06648,0.05354,-0.03990,-0.03216,-0.02218,0.01055,0.09207,-0.01337,0.04688,-0.05782,-0.05860,0.04781,-0.11239,-0.06119,0.00973,-0.14875,-0.00671,0.13436,0.09028,-0.11495,0.03020,-0.14225,-0.09137,0.01847,0.01461,0.00201,-0.06586,-0.02211,-0.08431,-0.02207,-0.09656,0.04446,-0.01118,0.00714,0.04154,-0.19288,-0.05876,0.06234,0.05022,0.02254,-0.07383,-0.05152,0.00383,-0.04411,0.00515,0.11863,0.15236,0.09518,0.00153,0.16652,-0.04664,-0.04520,-0.00843,-0.00233,-0.10265,-0.06440,0.10881,0.01188,-0.05001,-0.02129,-0.13201,0.10031,-0.01591,0.13690,0.08785,-0.01002,0.10800,0.04103,0.01046,0.11149,-0.05429,-0.02898,-0.12066,-0.00928,0.00076,-0.02698,0.04678,-0.00698,-0.07893,-0.00298,-0.00421,0.01861,0.06680,0.00584,-0.04177,0.01724,-0.01605,0.05674,-0.11534,-0.11263,0.02799,0.11653,-0.00149,-0.01994,-0.09856,-0.13064,0.05047,0.04416,0.09332,0.08824,0.13870,-0.02588,0.05036,0.01104,0.00994,-0.06777,0.10957,-0.06141,0.05557,0.07715,-0.12807,0.02337,0.14093,0.09445,-0.00152,0.05076,-0.02527,-0.06503,-0.03534,-0.06660,-0.06002,0.00469,-0.09322,0.01889,-0.01853,0.00917,-0.02083,-0.05007,0.08683,
